motor_catalogador.py | imports=['os', 'ast', 'collections'] | funcoes=2 | classes=0
Projeto_Extraido\Nova pasta\Frontend-Backup\main - Copia.py | imports=['customtkinter', 'core.bootstrap', 'tabs.ps2.ps2_write_tab', 'tabs.ps2.ps2_list_tab', 'tabs.ps1.ps1_list_tab', 'tabs.ps1.ps1_write_tab', 'tabs.prepare_drive_tab'] | funcoes=2 | classes=1
Projeto_Extraido\Nova pasta\Frontend-Backup\main.py | imports=['customtkinter', 'tabs.ps2.ps2_write_tab', 'tabs.ps2.ps2_list_tab', 'tabs.ps1.ps1_write_tab', 'tabs.ps1.ps1_list_tab', 'tabs.formatar.prepare_drive_tab'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\Frontend-Backup\core\bootstrap.py | imports=['core.service_container'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\Frontend-Backup\core\game_service.py | imports=['database.db_manager'] | funcoes=6 | classes=1
Projeto_Extraido\Nova pasta\Frontend-Backup\core\integrity_checker.py | imports=['os'] | funcoes=1 | classes=0
Projeto_Extraido\Nova pasta\Frontend-Backup\core\service_container.py | imports=['database.db_manager', 'core.game_service', 'core.unit_service', 'core.integrity_checker', 'core.ul_manager'] | funcoes=2 | classes=1
Projeto_Extraido\Nova pasta\Frontend-Backup\core\ul_manager.py | imports=['os', 'math', 'zlib'] | funcoes=4 | classes=1
Projeto_Extraido\Nova pasta\Frontend-Backup\core\unit_service.py | imports=['database.db_manager'] | funcoes=4 | classes=1
Projeto_Extraido\Nova pasta\Frontend-Backup\core\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\Frontend-Backup\database\db_manager.py | imports=['sqlite3', 'os', 'datetime'] | funcoes=12 | classes=1
Projeto_Extraido\Nova pasta\Frontend-Backup\database\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\Frontend-Backup\tabs\formatar\prepare_drive_tab.py | imports=['__future__', 'os', 'string', 'shutil', 'subprocess', 'customtkinter', 'tkinter', 'tkinter'] | funcoes=12 | classes=1
Projeto_Extraido\Nova pasta\Frontend-Backup\tabs\formatar\__init__.py | imports=[] | funcoes=0 | classes=0
Projeto_Extraido\Nova pasta\Frontend-Backup\tabs\ps1\ps1_list_tab.py | imports=['__future__', 'os', 'string', 'tkinter', 'tkinter'] | funcoes=19 | classes=1
